dc:identifier,dc:date,dc:description,dc:source,dc:hasFormat
BA2037-089,06/2007, First to be sold to the general public,Precedes BA2449-089,ba2037-089_bottom_1.jpg;ba2037-089_tag1_1.jpg;ba2037-089_tag2_1.jpg;ba2037-089_back_1.jpg
BA2037-089,06/2007,,,ba2037-089_bottom_1.jpg;ba2037-089_tag1_1.jpg;ba2037-089_tag2_1.jpg;ba2037-089_back_1.jpg
BA2037-089,06/2007,,,ba2037-089_bottom_1.jpg;ba2037-089_tag1_1.jpg;ba2037-089_tag2_1.jpg;ba2037-089_back_1.jpg
‏‏BA2037-089,,,,‏‏ba2037-089_back_1.jpg;‏‏ba2037-089_front_1.jpg
‏‏BA2037-089,,,,‏‏ba2037-089_back_1.jpg;‏‏ba2037-089_front_1.jpg
BA2037-089,06/2007,https://www.ebay.com/itm/123456,Precedes BA2449-089,ba2037-089_bottom_1.jpg;ba2037-089_tag1_1.jpg;ba2037-089_tag2_1.jpg;ba2037-089_back_1.jpg
BA2037-089,06/2007,,,ba2037-089_bottom_1.jpg;ba2037-089_tag1_1.jpg;ba2037-089_tag2_1.jpg;ba2037-089_back_1.jpg
BA2449-089,2008,,,ba2449-089_front_1.jpg
‏‏BA2449-089,,,,‏‏ba2449-089_side_1.jpg
BA4138-220,,,,ba4138-220_back_1.jpg;ba4138-220_front_1.jpg;ba4138-220_tag1_1.jpg;ba4138-220_tag2_1.jpg
BA4138-220,,,,ba4138-220_back_1.jpg;ba4138-220_front_1.jpg;ba4138-220_tag1_1.jpg;ba4138-220_tag2_1.jpg
BA4138-220,,,,ba4138-220_back_1.jpg;ba4138-220_front_1.jpg;ba4138-220_tag1_1.jpg;ba4138-220_tag2_1.jpg
BA4138-220,,,,ba4138-220_back_1.jpg;ba4138-220_front_1.jpg;ba4138-220_tag1_1.jpg;ba4138-220_tag2_1.jpg
BA4592-462,,,,ba4592-462_back_1.jpg;ba4592-462_front_1.jpg;ba4592-462_tag_1.jpg
BA4592-462,,,,ba4592-462_back_1.jpg;ba4592-462_front_1.jpg;ba4592-462_tag_1.jpg
BA4592-462,,,,ba4592-462_back_1.jpg;ba4592-462_front_1.jpg;ba4592-462_tag_1.jpg
BA4592-641,,,,ba4592-641_back_1.jpg;ba4592-641_front_1.jpg;ba4592-641_int_1.jpg;ba4592-641_tag_1.jpg
BA4592-641,,,,ba4592-641_back_1.jpg;ba4592-641_front_1.jpg;ba4592-641_int_1.jpg;ba4592-641_tag_1.jpg
BA4592-641,,,,ba4592-641_back_1.jpg;ba4592-641_front_1.jpg;ba4592-641_int_1.jpg;ba4592-641_tag_1.jpg
BA4592-641,,,,ba4592-641_back_1.jpg;ba4592-641_front_1.jpg;ba4592-641_int_1.jpg;ba4592-641_tag_1.jpg
BA4592-311,,,,ba4592-311_back_1.jpg;ba4592-311_front_1.jpg;ba4592-311_tag_1.jpg
BA4592-311,,,,ba4592-311_back_1.jpg;ba4592-311_front_1.jpg;ba4592-311_tag_1.jpg
BA4592-311,,,,ba4592-311_back_1.jpg;ba4592-311_front_1.jpg;ba4592-311_tag_1.jpg
